,city,monthly_cost_of_living
983,albrightsville-pa,
984,agoura-hills-ca,
985,adrian-mi,
986,airway-heights-wa,
987,paradise-nv,
988,streator-il,
989,imperial-ca,
990,welch-wv,
991,leesburg-ga,
992,ladson-sc,
993,fowlerville-mi,
994,browns-mills-nj,
995,versailles-mo,
996,watkins-glen-ny,
997,hope-ar,
998,challis-id,
999,portageville-mo,
1000,belen-nm,
1001,havana-il,
1002,fairborn-oh,
1003,watseka-il,
1004,oelwein-ia,
1005,bath-ny,
1006,hope-mills-nc,
1007,blytheville-ar,
1008,dennison-oh,
1009,west-frankfort-il,
1010,gardnerville-nv,
1011,westhampton-beach-ny,
1012,marion-ar,
1013,de-witt-ne,
1014,kingwood-wv,
1015,paris-tx,
1016,batesville-ms,
1017,summersville-wv,
1018,basin-wy,
1019,fairfield-me,
1020,wayland-ny,
1021,wisconsin-dells-wi,
1022,balch-springs-tx,
1023,osceola-wi,
1024,crestline-ca,
1025,morenci-az,
1026,clayton-ga,
1027,whitefield-me,
1028,spring-valley-il,
1029,stanfield-nc,
1030,east-orange-nj,
1031,monroe-mi,
1032,amherst-va,
1033,greenbrier-ar,
1034,laurel-ms,
1035,mapleton-ut,
1036,ville-platte-la,
1037,shamokin-pa,
1038,prophetstown-il,
1039,mt-pleasant-pa,
1040,banning-ca,
1041,west-greenwich-ri,
1042,anaconda-mt,
1043,deer-river-mn,
1044,brecksville-oh,
1045,neosho-mo,
1046,big-spring-tx,
1047,dunellen-nj,
1048,st-clair-mi,
1049,whitinsville-ma,
1050,easton-md,
1051,coon-rapids-mn,
1052,woodville-ms,
1053,plymouth-in,
1054,campbellsville-ky,
1055,sulphur-springs-tx,
1056,toronto-on,
1057,chelan-wa,
1058,glasgow-mt,
1059,verona-va,
1060,howard-ks,
1061,grandview-wa,
1062,detroit-lakes-mn,
1063,herrin-il,
1064,mt-vernon-ny,
1065,vadnais-heights-mn,
1066,new-iberia-la,
1067,yanceyville-nc,
1068,ripon-ca,
1069,amenia-ny,
1070,london-oh,
1071,woodstock-ny,
1072,thomasville-ga,
1073,kidron-oh,
1074,west-dundee-il,
1075,topping-va,
1076,willow-spring-nc,
1077,belvidere-il,
1078,zeeland-mi,
1079,janesville-mn,
1080,georgetown-de,
1081,manistee-mi,
1082,kelso-wa,
1083,woodburn-or,
1084,carthage-mo,
1085,malott-wa,
1086,woodland-wa,
1087,warren-pa,
1088,lakeville-mn,
1089,merrill-wi,
1090,tumwater-wa,
1091,tenino-wa,
1092,yelm-wa,
1093,littlerock-wa,
1094,bucoda-wa,
1095,centralia-wa,
1096,ocean-shores-wa,
1097,dupont-wa,
1098,enumclaw-wa,
1099,forks-wa,
1100,rochester-wa,
1101,chehalis-wa,
1102,university-place-wa,
1103,zillah-wa,
1104,union-gap-wa,
1105,tukwila-wa,
1106,grand-coulee-wa,
1107,maytown-wa,
1108,electric-city-wa,
1109,algona-wa,
1110,shoreline-wa,
1111,deerfield-il,
1112,shippensburg-pa,
1113,patton-pa,
1114,lake-geneva-wi,
1115,appomattox-va,
1116,young-harris-ga,
1117,douglasville-ga,
1118,amargosa-valley-nv,
1119,port-hadlock-irondale-wa,
1120,lakeport-ca,
1121,leggett-ca,
1122,fort-atkinson-wi,
1123,colby-ks,
1124,monterey-park-ca,
1125,pottsboro-tx,
1126,minersville-pa,
1127,ellsinore-mo,
1128,paris-ar,
1129,white-lake-charter-township-mi,
1130,york-sc,
1131,shenandoah-ia,
1132,sun-valley-id,
1133,ranger-tx,
1134,jonesboro-la,
1135,honesdale-pa,
1136,staples-mn,
1137,willmar-mn,
1138,pontotoc-ms,
1139,scotch-plains-nj,
1140,belton-sc,
1141,richfield-mn,
1142,buffalo-mn,
1143,langley-wa,
1144,allston-ma,
1145,northfield-mn,
1146,west-chazy-ny,
1147,highland-il,
1148,rocky-point-ny,
1149,macon-mo,
1150,scottsville-ky,
1151,brandon-vt,
1152,folkston-ga,
1153,holly-springs-nc,
1154,coachella-ca,
1155,seven-points-tx,
1156,burlington-ky,
1157,mt-shasta-ca,
1158,clay-county-wv,
1159,western-grove-ar,
1160,franklin-park-il,
1161,kinston-nc,
1162,maryville-mo,
1163,troy-al,
1164,lockport-il,
1165,wauwatosa-wi,
1166,toccoa-falls-ga,
1167,marathon-fl,
1168,canton-ma,
1169,walnut-ca,
1170,hoosick-falls-ny,
1171,argos-in,
1172,fairview-or,
1173,beeville-tx,
1174,marble-falls-tx,
1175,massapequa-park-ny,
1176,redwood-falls-mn,
1177,montevallo-al,
1178,ardmore-ok,
1179,mullica-hill-nj,
1180,seaside-heights-nj,
1181,ravenswood-wv,
1182,isla-vista-ca,
1183,holderness-nh,
1184,bear-de,
1185,valley-center-ca,
1186,clearfield-pa,
1187,woodbine-ga,
1188,middletown-ct,
1189,west-deptford-nj,
1190,willingboro-nj,
1191,spring-lake-nj,
1192,douglas-ga,
1193,luverne-al,
1194,corcoran-ca,
1195,hazel-park-mi,
1196,schererville-in,
1197,manalapan-township-nj,
1198,fort-bragg-nc,
1199,lexington-ne,
1200,boron-ca,
1201,radcliff-ky,
1202,ducktown-tn,
1203,coalville-ut,
1204,oasis-spring-ca,
1205,huntington-park-ca,
1206,lindsay-ok,
1207,medford-ny,
1208,cle-elum-wa,
1209,grafton-wi,
1210,leesville-la,
1211,crookston-mn,
1212,mill-spring-nc,
1213,woodward-county-ok,
1214,millinocket-me,
1215,chesilhurst-nj,
1216,brenham-tx,
1217,pinconning-mi,
1218,tuscumbia-al,
1219,harper-woods-mi,
1220,lathrop-ca,
1221,livingston-tx,
1222,batavia-oh,
1223,edgewood-nm,
1224,bodega-bay-ca,
1225,pisgah-al,
1226,south-hadley-ma,
1227,zurich-mt,
1228,polson-mt,
1229,ballston-ny,
1230,falmouth-ma,
1231,caldwell-tx,
1232,weston-ct,
1233,libby-mt,
1234,elkins-wv,
1235,east-northport-ny,
1236,south-riding-va,
1237,eliot-me,
1238,kenyon-mn,
1239,lake-view-ia,
1240,geneva-ny,
1241,pass-christian-ms,
1242,monticello-ut,
1243,kings-park-ny,
1244,oconto-falls-wi,
1245,st-albans-town-vt,
1246,media-pa,
1247,manchester-township-nj,
1248,erdenheim-pa,
1249,mission-tx,
